id,name,headquarters,employeesSize,industryType,websiteList/0,websiteList/1,websiteList/2,websiteList/3,happinessScore,reviewScore,jobOffersCount,websiteList/4,websiteList/5,websiteList/6,websiteList/7,websiteList/8,websiteList/9,websiteList/10,websiteList/11
34f05ad7-9ac9-478b-817e-b65363b98e7f,STERIS,"5960 Heisley Road Mentor, Ohio, United States","10,000+",Pharmaceutical & Biotechnology,http://online.fliphtml5.com/hlna/uypk/,http://www.steris.com/,,,56,3.2,665,,,,,,,,
7af86b78-2b44-490d-a2f8-2a95c45eca10,"MCR, LLC.",,,,,,,,,4,77,,,,,,,,
81c8984f-7f22-42a1-99a4-beed4df6c8c8,AURORA,2510 West 237th Street Suite 202,11 to 50,Information Technology,http://www.aurorait.com/,,,,,4.1,226,,,,,,,,
f59f5544-5537-410b-95b3-1e71b3a801af,CWT,40 avenue Pierre Lefaucheux 92100 Boulogne-Billancourt,"10,000+",Hotels & Travel Accommodation,https://careers.mycwt.com/,,,,66,3.8,94,,,,,,,,
53375283-d4d6-4cc2-a0fe-930966cdd87e,"Zoom Video Communications, Inc.","55 Almaden Blvd Suite 400 San Jose, CA 95113","5,001 to 10,000",Information Technology,https://www.instagram.com/zoom/,http://www.zoom.us/careers,,,,4,260,,,,,,,,
df6107c0-745d-40e1-9f6b-7e099a92cfa0,Qualcomm,"San Diego California, United States","10,000+",Information Technology,https://www.linkedin.com/company/2017,https://www.qualcomm.com/company/careers,,,76,4.1,463,,,,,,,,
87bc8a99-f33a-4c72-8b2b-e09a2e362721,Meggitt,"Meggitt PLC Ansty Technology Park, Pilot Way, Ansty, Coventry CV7 9JU","10,000+",Aerospace & Defense,https://www.youtube.com/user/meggittplc,https://www.meggitt.com/careers/,http://www.meggitt.com/,,,,77,,,,,,,,
3e068c2f-e416-4540-91fd-c09663c0c7cd,Convey,"3800 N Lamar Austin, TX",,Information Technology,https://www.getconvey.com/about-convey/careers/,http://www.getconvey.com/,,,,3.5,,,,,,,,,
319919dc-5d41-4f48-b87a-5e514b1db495,Edgewater Federal Solutions,Ijamsville,11 to 50,,https://www.edgewaterit.com/,,,,,3.3,141,,,,,,,,
8ebecdfb-8b18-4c91-9fc0-b4deff572436,Clockshark,"Chico, CA",11 to 50,,http://www.clockshark.com/,,,,,4.7,2,,,,,,,,
a6b478a5-f21b-4050-acda-c8844b0bee77,Eagle Creek Software Services,,,Information Technology,,,,,,2.5,285,,,,,,,,
e91ebec0-ec32-436f-bb68-3ac8e24bdc3a,"Burke, Inc.","Cincinnati, OH",201 to 500,Management & Consulting,https://www.burke.com/,,,,,3.7,16,,,,,,,,
009221f6-2bc7-4eb2-8053-af5ece71a716,Cue Health,,,Medical Testing & Clinical Laboratories,,,,,,3,216,,,,,,,,
1ee2fc9a-2c25-4aec-a6fc-a2a0dd06ad45,Grand Canyon University,"3300, Phoenix, Arizona","1,001 to 5,000",Education,https://jobs.gcu.edu/,,,,69,3.9,168,,,,,,,,
b19e363d-0118-42b0-a625-5823068bd7e2,Epsilon Systems Solutions,"San Diego, CA","501 to 1,000",Aerospace & Defense,https://www.epsilonsystems.com/,,,,,3.8,302,,,,,,,,
2b55872d-35ee-4f2e-b91c-c1a6fe7713c8,Gainwell Technologies,,,Healthcare,,,,,56,2.7,619,,,,,,,,
6645f01b-b050-436e-8118-79e9d370bd61,Satelytics,"1510 N. Westwood Ave. #2070 Toledo, OH 43606",11 to 50,Information Technology,https://www.linkedin.com/company/satelytics,https://www.youtube.com/c/satelytics,https://www.pinterest.com/satelytics/,https://www.satelytics.com/,,4.2,5,,,,,,,,
15c6f301-19b9-428a-b717-108e4af23bd5,Phillip Capital Inc.,London,201 to 500,Financial Transaction Processing,https://www.phillipcapital.com/,,,,,3.6,6,,,,,,,,
85be27d6-61c8-4344-b99e-bd3d6a3e34d0,Tulsa Winch Group,,,,,,,,,3.4,6,,,,,,,,
0a723adb-ff6d-420a-9b1d-68dcdb16a742,"Woongjin, Inc",,,Personal Consumer Services,,,,,,3.6,99,,,,,,,,
9cf4f871-ef02-4ae2-80b4-67394bc9ee08,IBOSS,Rijen,2 to 10,,https://www.iboss.nl/,,,,,2.4,678,,,,,,,,
9014f3e4-81c2-4b92-b85e-71621bb2d5e7,Bethesda Game Studios,"Rockville, Maryland",,Information Technology,http://bgs.bethsoft.com/,,,,,4,35,,,,,,,,
0f1c5aab-f967-4b35-b310-d1709a953d36,Medpace,"5375 Medpace Way Cincinnati, Ohio 45227","1,001 to 5,000",Pharmaceutical & Biotechnology,http://www.medpace.com/,,,,49,2.6,346,,,,,,,,
65b7d554-5cd6-416b-91ec-83c32cd7a72a,Grange Insurance,,,,https://www.grangeinsurance.com/careers,,,,73,3.8,31,,,,,,,,
66c87a7d-5490-4117-a597-bfdf5d17e97d,Applied Industrial Technologies,"1 Applied Plaza Cleveland, OH 44115","5,001 to 10,000",Manufacturing,https://www.applied.com/,,,,58,3.2,415,,,,,,,,
774e58df-edf6-4627-8e3e-38459716ac19,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",,,Healthcare,http://hcsc.com/careers/index.html,,,,62,3.9,639,,,,,,,,
47c1a21c-791e-4293-8d94-7aac68e8b7d2,Sierra Nevada Corporation,"444 Salomon Circle Sparks, NV 89434","1,001 to 5,000",Aerospace & Defense,http://www.sncorp.com/careers/,http://www.sncorp.com/,,,61,3.6,257,,,,,,,,
b5f4e1a0-96b7-48a6-9a2e-f8f97840185d,Actalent,,"5,001 to 10,000",Management & Consulting,https://www.linkedin.com/company/actalentservices,https://www.actalentservices.com/en,,,56,3,5395,,,,,,,,
b7b3da8a-4011-4c17-9971-6aeaf7d1567e,Environmental Data Resources Inc,,,,,,,,,3.8,2,,,,,,,,
a1657f82-8559-4941-a500-ededa143045d,Bank of America,"Charlotte North Carolina, United States","10,000+",Financial Services,http://www.bankofamerica.com/,,,,64,3.8,6084,,,,,,,,
dba1abf8-6272-4eec-af25-30b0f51a09e2,Jacobs,"1999 Bryan Street, Suite 1200 Dallas, Texas 75201 United States","10,000+","Construction, Repair & Maintenance Services",https://www.instagram.com/jacobsconnects,https://www.linkedin.com/company/jacobs,http://www.jacobs.com/,,72,3.9,2672,,,,,,,,
aee1c8e5-054a-4e9b-9c33-89e2adb76f2a,CVS Health,"Woonsocket, Rhode Island","10,000+",Healthcare,https://jobs.cvshealth.com/?prefilters=none&CloudSearchLocation=none&CloudSearchValue=none,http://jobs.cvshealth.com/,,,52,3.2,522,,,,,,,,
f4c9e019-ddf0-4cdc-b3db-993af547f9db,Visa,"San Francisco Bay Area, California United States","10,000+",Financial Services,http://blog.visa.com/,https://www.youtube.com/playlist?list=PLQmVBO16djFsksBo0sgKuKm0gLba59mZM,http://www.visa.com/,,71,3.9,1375,,,,,,,,
648de866-b3ca-440f-af45-06673e2f52e9,Medline Industries,"Northfield, IL","10,000+",Healthcare,https://www.instagram.com/medline,https://www.medline.com/,,,54,3.3,1,,,,,,,,
5304425f-ed01-4acb-95ac-e6dfc532809f,Telecom Technology Services,,,,,,,,,4.3,9,,,,,,,,
ae82f874-f750-46e3-b7b1-914ed40e8a60,"LERETA, LLC","1123 Park View Drive Covina, CA 91724","501 to 1,000",Financial Services,https://www.linkedin.com/company/lereta-llc,http://www.lereta.com/,,,48,3.2,61,,,,,,,,
e3e2561b-0065-42c9-8530-65a8dc60fd76,FlightSafety International,"290 Broadhollow Rd, Suite 402E Melville, NY 11747","1,001 to 5,000",Aerospace & Defense,https://www.flightsafety.com/,,,,67,3.6,243,,,,,,,,
e5813fbc-fc11-4f72-bfe7-f9bc3c35a33c,Boston Scientific,"300 Boston Scientific Way Marlborough, MA 01752-1234","10,000+",Healthcare,https://www.bostonscientific.com/en-US/careers.html,http://www.bostonscientific.com/,,,68,3.9,768,,,,,,,,
7f385451-1630-4d7d-8ab6-af5777cb8571,"Redbox Automated Retail, LLC","Oakbrook Terrace, IL","1,001 to 5,000","Arts, Entertainment & Recreation",https://www.instagram.com/redbox,https://www.redbox.com/,,,69,3.5,116,,,,,,,,
d432bdba-662a-4dbc-bc62-b372a837df87,Texas Education Agency,Austin,"501 to 1,000",Government & Public Administration,https://www.tea.state.tx.us/,,,,,3.7,79,,,,,,,,
eb71bd89-27c8-4384-b269-ce7e120c7483,RLI,"9025 N. Lindbergh Dr. Peoria, IL 61615","501 to 1,000",Insurance,https://www.rlicorp.com/careers,https://www.rlicorp.com/,,,,3.3,9,,,,,,,,
d79230ef-e3c7-414a-ac89-3aa965ac1197,Paradox,"6330 E. Thomas Road, Suite 200, Scottsdale, AZ, 85257",201 to 500,Information Technology,http://paradox.ai/,,,,,4.5,314,,,,,,,,
9c802b54-fa3c-4baf-9274-7873e04ba698,Build-A-Bear Workshop,"1954 Innerbelt Business Center Drive Saint Louis, MO 63114","5,001 to 10,000",Retail & Wholesale,http://www.buildabear.com/,,,,75,4,601,,,,,,,,
75cace5a-0c7c-4909-ac51-0a4f12fc15cd,ProMedica Health System,"Toledo, OH","5,001 to 10,000",Sporting Goods Stores,http://www.promedica.org/,,,,58,3.6,1627,,,,,,,,
773e3dcf-e1af-4337-a355-1287194bd8b2,Spherexx,"Tulsa Oklahoma, United States",51 to 200,Information Technology,http://www.spherexx.com/,,,,,4.8,2,,,,,,,,
6e0c0ac5-47db-4765-8058-e46d4bb171ca,Match,"Dallas, Texas Los Angeles, California San Francisco, California New York, New York","501 to 1,000",Information Technology,http://lifeatmatch.com/,,,,,3.7,26,,,,,,,,
089b1310-0186-41ac-ad57-da9bf02cc2fe,Insight,"6820 South Harl Avenue Tempe, AZ 85283","10,000+",Information Technology,https://www.instagram.com/insight_culture,https://www.linkedin.com/company/insight/,http://www.insight.com/,,65,3.6,42,,,,,,,,
ebade7f6-082f-45fc-9ddf-0fb0f26c1e82,Splunk,"270 Brannan St, San Francisco, CA 94107, USA","5,001 to 10,000",Information Technology,https://www.splunk.com/en_us/careers.html,https://www.splunk.com/com,,,,4.2,11,,,,,,,,
b4cb2562-cd9b-476e-9e8d-a68d921bf94b,Nestlé,"Vevey, Switzerland","10,000+",Manufacturing,https://www.instagram.com/nestle.careers,https://www.youtube.com/user/nestleusa,https://medium.com/nestle-usa,https://www.nestleusa.com/,,,77,http://www.nestle.com/,,,,,,,
b2b9ab3e-cfd5-468f-94cb-280a17fa3ded,The Hartford,"Hartford, Connecticut","10,000+",Insurance,https://www.instagram.com/thehartford,http://www.youtube.com/thehartford,https://www.instagram.com/thehartford/,https://www.thehartford.com/careers,,,276,http://www.thehartford.com/,,,,,,,
a71f9791-28db-41b4-8691-ef88daeb8ac1,handsome,Austin,11 to 50,,https://www.handsome.is/,,,,,4.5,11,,,,,,,,
f930ad8c-3195-4330-b2a1-cb803e86da3b,SM&A,"Irvine, CA",201 to 500,Telecommunications,http://www.smawins.com/,,,,,3.9,2544,,,,,,,,
20a03064-5df7-4a51-9399-7041a994b825,Scaled Composites,"1624 Flight Line, Mojave CA 93501",201 to 500,Aerospace & Defense,https://www.instagram.com/scaledcomposites/,http://scaled.com/,,,,3.5,11,,,,,,,,
9fe3e71c-5949-4913-a972-78f8de7d0c55,Cornerstone Defense,"1743 Dorsey Rd, Hanover, MD 21076",51 to 200,Information Technology,https://www.linkedin.com/company/3772194/admin/,https://www.cornerstonedefense.com/,,,,3.4,35,,,,,,,,
72421a1f-0f5b-487e-85fa-307b83d6a41e,Cuyahoga County Juvenile Court,,,Government & Public Administration,,,,,,3.3,22,,,,,,,,
fc0e7f03-c960-423d-bea0-cd46444423af,Ping Identity,"Ping Identity 1001 17th Street Suite 100 Denver, CO 80202","501 to 1,000",Information Technology,https://www.pingidentity.com/en/company/careers.html,,,,,4.1,206,,,,,,,,
75969174-48f5-4a6c-a271-ff5ad15d4873,"Woodward, Inc.","Corporate Headquarters 1081 Woodward Way, Fort Collins, Colorado 80524, USA","5,001 to 10,000",Manufacturing,https://www.woodward.com/,,,,61,3.5,152,,,,,,,,
